r,K,H,t_year,A,P2025
0,497.2965588411596,0.125,45,5.29,0.3388108684302159
0,497.2965588411596,0.14583333333333331,45,5.29,0.13273526154335444
0,497.2965588411596,0.16666666666666666,45,5.29,0.05198831759876251
0,497.2965588411596,0.1875,45,5.29,0.020360212657472235
0,497.2965588411596,0.20833333333333331,45,5.29,0.007973372443793841
0,497.2965588411596,0.22916666666666666,45,5.29,0.003122447970973122
0,497.2965588411596,0.25,45,5.29,0.0012227728654479947
0,497.2965588411596,0.2708333333333333,45,5.29,4.788454505834415e-4
0,497.2965588411596,0.29166666666666663,45,5.29,1.8751868260948694e-4
0,497.2965588411596,0.3125,45,5.29,7.343338806332431e-5
0,497.2965588411596,0.3333333333333333,45,5.29,2.8756930535023e-5
0,497.2965588411596,0.35416666666666663,45,5.29,1.1261376199659082e-5
0,497.2965588411596,0.375,45,5.29,4.410018344668414e-6
0,497.2965588411596,0.3958333333333333,45,5.29,1.7269880068375551e-6
0,497.2965588411596,0.41666666666666663,45,5.29,6.762982221098218e-7
0,497.2965588411596,0.4375,45,5.29,2.648421893088484e-7
0,497.2965588411596,0.4583333333333333,45,5.29,1.0371369154835119e-7
0,497.2965588411596,0.47916666666666663,45,5.29,4.0614865178909654e-8
0,497.2965588411596,0.5,45,5.29,1.590500973157091e-8
0,557.478944942956,0,45,5.29,88.62940301159873
0,557.478944942956,0.020833333333333332,45,5.29,38.424330363316464
0,557.478944942956,0.041666666666666664,45,5.29,15.70578542814113
0,557.478944942956,0.0625,45,5.29,6.2577328598301
0,557.478944942956,0.08333333333333333,45,5.29,2.4674140135260627
0,557.478944942956,0.10416666666666666,45,5.29,0.9688621308313063
0,557.478944942956,0.125,45,5.29,0.3798134576032994
0,557.478944942956,0.14583333333333331,45,5.29,0.1487987645326776
0,557.478944942956,0.16666666666666666,45,5.29,0.05827989743555543
0,557.478944942956,0.1875,45,5.29,0.022824187437675884
0,557.478944942956,0.20833333333333331,45,5.29,0.008938302866928129
0,557.478944942956,0.22916666666666666,45,5.29,0.0035003238400717804
0,557.478944942956,0.25,45,5.29,0.001370751747253803
0,557.478944942956,0.2708333333333333,45,5.29,5.367949000171064e-4
0,557.478944942956,0.29166666666666663,45,5.29,2.1021202636477518e-4
0,557.478944942956,0.3125,45,5.29,8.232023120474574e-5
0,557.478944942956,0.3333333333333333,45,5.29,3.2237068625248716e-5
0,557.478944942956,0.35416666666666663,45,5.29,1.2624217905350308e-5
0,557.478944942956,0.375,45,5.29,4.94371483223975e-6
